fen,side,wdl,dtz
8/6B1/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/6B1/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
1B6/8/8/8/8/8/8/KBk5 w - - 0 1,w,2,20
1B6/8/8/8/8/8/8/KBk5 b - - 0 1,b,-2,-29
1B6/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
1B6/8/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
3B4/8/8/8/8/8/8/KBk5 w - - 0 1,w,2,16
3B4/8/8/8/8/8/8/KBk5 b - - 0 1,b,-2,-29
3B4/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
3B4/8/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
5B2/8/8/8/8/8/8/KBk5 w - - 0 1,w,2,14
5B2/8/8/8/8/8/8/KBk5 b - - 0 1,b,-2,-29
5B2/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
5B2/8/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
7B/8/8/8/8/8/8/KBk5 w - - 0 1,w,2,16
7B/8/8/8/8/8/8/KBk5 b - - 0 1,b,-2,-29
7B/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
7B/8/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/8/8/K1kBB3 w - - 0 1,w,2,12
8/8/8/8/8/8/8/K1kBB3 b - - 0 1,b,0,0
8/8/8/8/8/8/8/K1kB4 w - - 0 1,w,0,0
8/8/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/8/8/K1kB2B1 w - - 0 1,w,2,22
8/8/8/8/8/8/8/K1kB2B1 b - - 0 1,b,0,0
8/8/8/8/8/8/1B6/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/8/3B4/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/8/5B2/K1kB4 w - - 0 1,w,2,20
8/8/8/8/8/8/5B2/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/8/7B/K1kB4 w - - 0 1,w,2,28
8/8/8/8/8/8/7B/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/B7/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/2B5/8/K1kB4 w - - 0 1,w,2,16
8/8/8/8/8/2B5/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/4B3/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/6B1/8/K1kB4 w - - 0 1,w,2,28
8/8/8/8/8/6B1/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/1B6/8/8/K1kB4 w - - 0 1,w,2,10
8/8/8/8/1B6/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/3B4/8/8/K1kB4 w - - 0 1,w,2,20
8/8/8/8/3B4/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/5B2/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/7B/8/8/K1kB4 w - - 0 1,w,2,28
8/8/8/8/7B/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/B7/8/8/8/K1kB4 w - - 0 1,w,2,12
8/8/8/B7/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/2B5/8/8/8/K1kB4 w - - 0 1,w,2,20
8/8/8/2B5/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/4B3/8/8/8/K1kB4 w - - 0 1,w,2,30
8/8/8/4B3/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/6B1/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/1B6/8/8/8/8/K1kB4 w - - 0 1,w,2,20
8/8/1B6/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/3B4/8/8/8/8/K1kB4 w - - 0 1,w,2,28
8/8/3B4/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/5B2/8/8/8/8/K1kB4 w - - 0 1,w,2,30
8/8/5B2/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/7B/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/B7/8/8/8/8/8/K1kB4 w - - 0 1,w,2,22
8/B7/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/2B5/8/8/8/8/8/K1kB4 w - - 0 1,w,2,28
8/2B5/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/4B3/8/8/8/8/8/K1kB4 w - - 0 1,w,2,28
8/4B3/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/6B1/8/8/8/8/8/K1kB4 w - - 0 1,w,2,30
8/6B1/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
1B6/8/8/8/8/8/8/K1kB4 w - - 0 1,w,2,28
1B6/8/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
3B4/8/8/8/8/8/8/K1kB4 w - - 0 1,w,2,28
3B4/8/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
5B2/8/8/8/8/8/8/K1kB4 w - - 0 1,w,2,28
5B2/8/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
7B/8/8/8/8/8/8/K1kB4 w - - 0 1,w,2,30
7B/8/8/8/8/8/8/K1kB4 b - - 0 1,b,0,0
8/8/8/8/8/8/8/K1k1BB2 w - - 0 1,w,2,12
8/8/8/8/8/8/8/K1k1BB2 b - - 0 1,b,-2,-15
8/8/8/8/8/8/8/K1k2B2 w - - 0 1,w,0,0
8/8/8/8/8/8/8/K1k2B2 b - - 0 1,b,0,0
8/8/8/8/8/8/8/K1k1B2B w - - 0 1,w,2,16
8/8/8/8/8/8/8/K1k1B2B b - - 0 1,b,-2,-31
8/8/8/8/8/8/8/K1k4B w - - 0 1,w,0,0
8/8/8/8/8/8/8/K1k4B b - - 0 1,b,0,0
8/8/8/8/8/8/B7/K1k1B3 w - - 0 1,w,2,16
8/8/8/8/8/8/B7/K1k1B3 b - - 0 1,b,-2,-35
8/8/8/8/8/8/B7/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/8/B7/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/8/2B5/K1k1B3 w - - 0 1,w,2,14
8/8/8/8/8/8/2B5/K1k1B3 b - - 0 1,b,0,0
8/8/8/8/8/8/2B5/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/8/2B5/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/8/4B3/K1k1B3 w - - 0 1,w,2,10
8/8/8/8/8/8/4B3/K1k1B3 b - - 0 1,b,-2,-11
8/8/8/8/8/8/4B3/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/8/4B3/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/8/6B1/K1k1B3 w - - 0 1,w,2,16
8/8/8/8/8/8/6B1/K1k1B3 b - - 0 1,b,-2,-29
8/8/8/8/8/8/6B1/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/8/6B1/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/1B6/8/K1k1B3 w - - 0 1,w,2,16
8/8/8/8/8/1B6/8/K1k1B3 b - - 0 1,b,0,0
8/8/8/8/8/1B6/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/1B6/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/3B4/8/K1k1B3 w - - 0 1,w,2,12
8/8/8/8/8/3B4/8/K1k1B3 b - - 0 1,b,-2,-13
8/8/8/8/8/3B4/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/3B4/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/5B2/8/K1k1B3 w - - 0 1,w,2,12
8/8/8/8/8/5B2/8/K1k1B3 b - - 0 1,b,-2,-15
8/8/8/8/8/5B2/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/5B2/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/7B/8/K1k1B3 w - - 0 1,w,2,16
8/8/8/8/8/7B/8/K1k1B3 b - - 0 1,b,-2,-33
8/8/8/8/8/7B/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/7B/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/B7/8/8/K1k1B3 w - - 0 1,w,2,16
8/8/8/8/B7/8/8/K1k1B3 b - - 0 1,b,0,0
8/8/8/8/B7/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/B7/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/2B5/8/8/K1k1B3 w - - 0 1,w,2,12
8/8/8/8/2B5/8/8/K1k1B3 b - - 0 1,b,-2,-15
8/8/8/8/2B5/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/2B5/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/4B3/8/8/K1k1B3 w - - 0 1,w,2,14
8/8/8/8/4B3/8/8/K1k1B3 b - - 0 1,b,-2,-27
8/8/8/8/4B3/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/4B3/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/6B1/8/8/K1k1B3 w - - 0 1,w,2,12
8/8/8/8/6B1/8/8/K1k1B3 b - - 0 1,b,-2,-15
8/8/8/8/6B1/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/6B1/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/1B6/8/8/8/K1k1B3 w - - 0 1,w,2,12
8/8/8/1B6/8/8/8/K1k1B3 b - - 0 1,b,-2,-15
8/8/8/1B6/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/1B6/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/3B4/8/8/8/K1k1B3 w - - 0 1,w,2,16
8/8/8/3B4/8/8/8/K1k1B3 b - - 0 1,b,-2,-27
8/8/8/3B4/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/3B4/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/5B2/8/8/8/K1k1B3 w - - 0 1,w,2,14
8/8/8/5B2/8/8/8/K1k1B3 b - - 0 1,b,-2,-31
8/8/8/5B2/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/5B2/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/7B/8/8/8/K1k1B3 w - - 0 1,w,2,12
8/8/8/7B/8/8/8/K1k1B3 b - - 0 1,b,-2,-15
8/8/8/7B/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/7B/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/B7/8/8/8/8/K1k1B3 w - - 0 1,w,2,12
8/8/B7/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-15
8/8/B7/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/B7/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/2B5/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
8/8/2B5/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-27
8/8/2B5/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/2B5/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/4B3/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
8/8/4B3/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-35
8/8/4B3/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/4B3/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/6B1/8/8/8/8/K1k1B3 w - - 0 1,w,2,14
8/8/6B1/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-31
8/8/6B1/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/6B1/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/1B6/8/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
8/1B6/8/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-27
8/1B6/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/1B6/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/3B4/8/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
8/3B4/8/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-35
8/3B4/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/3B4/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/5B2/8/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
8/5B2/8/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-33
8/5B2/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/5B2/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/7B/8/8/8/8/8/K1k1B3 w - - 0 1,w,2,14
