fen,side,wdl,dtz
8/6B1/8/2kB4/8/8/8/2K5 w - - 0 1,w,2,30
1k6/8/8/B7/8/8/6B1/K7 w - - 0 1,w,2,22
4B3/8/1B6/8/1k6/8/8/2K5 w - - 0 1,w,2,20
6B1/8/8/B7/8/4k3/8/1K6 w - - 0 1,w,2,30
8/8/8/7k/2B5/8/3B4/1K6 w - - 0 1,w,2,24
8/B7/8/8/5k2/8/8/1K6 w - - 0 1,w,0,0
8/8/1B6/8/8/7k/8/KB6 w - - 0 1,w,2,26
8/5B2/7k/8/8/6B1/8/K7 w - - 0 1,w,2,28
3B4/k7/8/8/8/3B4/8/K7 w - - 0 1,w,2,22
8/8/8/k7/8/3B4/5B2/K7 w - - 0 1,w,2,16
8/8/3k4/8/8/8/3B4/K2B4 w - - 0 1,w,2,32
2k5/5B2/8/8/8/8/8/K5B1 w - - 0 1,w,2,26
4B3/8/8/8/5B2/7k/8/K7 w - - 0 1,w,2,24
k7/5B2/8/8/7B/8/8/1K6 w - - 0 1,w,2,26
8/5k1B/8/8/8/B7/8/1K6 w - - 0 1,w,2,32
8/8/8/6B1/8/3k4/8/1K6 w - - 0 1,w,0,0
8/8/5B2/8/8/3k3B/8/1K6 w - - 0 1,w,2,30
8/8/7B/2k2B2/8/8/8/2K5 w - - 0 1,w,2,30
8/8/8/1k6/8/2B5/6B1/K7 w - - 0 1,w,2,28
8/8/7k/8/8/8/8/1K5B w - - 0 1,w,0,0
1B6/8/8/8/8/4k3/8/1K5B w - - 0 1,w,2,28
B2B4/8/8/7k/8/8/8/1K6 w - - 0 1,w,2,28
8/7B/8/B7/8/8/5k2/2K5 w - - 0 1,w,2,24
8/8/8/8/4B3/8/8/1K2k1B1 w - - 0 1,w,2,22
7B/8/2k5/8/2B5/8/8/1K6 w - - 0 1,w,2,28
8/8/1B6/8/B7/2k5/8/1K6 w - - 0 1,w,2,20
8/7B/8/8/1k6/8/1B6/K7 w - - 0 1,w,2,32
8/5B2/2k5/8/8/8/8/2K3B1 w - - 0 1,w,2,30
5B2/8/8/8/8/5B2/8/2K2k2 w - - 0 1,w,2,20
8/8/8/8/k1B5/8/5B2/1K6 w - - 0 1,w,2,12
8/8/8/8/3k1B2/8/6B1/1K6 w - - 0 1,w,2,24
8/1k6/8/8/3B4/8/8/K2B4 w - - 0 1,w,2,24
8/1B3k2/8/8/8/8/8/1K4B1 w - - 0 1,w,2,30
8/8/B6k/8/8/6B1/8/1K6 w - - 0 1,w,2,28
8/B7/7k/8/2B5/8/8/1K6 w - - 0 1,w,2,28
4B3/8/3B4/8/8/8/3k4/K7 w - - 0 1,w,2,30
2B5/8/7B/8/8/2k5/8/1K6 w - - 0 1,w,2,32
8/8/8/8/8/B6k/8/1K5B w - - 0 1,w,2,26
8/8/8/7B/8/8/6k1/K1B5 w - - 0 1,w,2,22
8/8/1B1k4/8/8/8/8/KB6 w - - 0 1,w,2,32
B7/8/8/8/2k5/8/8/B1K5 w - - 0 1,w,2,28
B7/8/8/8/3B1k2/8/8/1K6 w - - 0 1,w,2,28
8/2B5/8/8/8/k4B2/8/1K6 w - - 0 1,w,2,20
8/8/2B5/2B4k/8/8/8/2K5 w - - 0 1,w,2,28
1k6/8/8/8/8/1B6/8/1KB5 w - - 0 1,w,2,26
8/3k4/8/8/8/B7/B7/2K5 w - - 0 1,w,2,26
8/2k4B/8/8/8/2B5/8/1K6 w - - 0 1,w,2,30
1B6/8/8/8/4k3/8/8/K2B4 w - - 0 1,w,2,32
k7/8/8/2B4B/8/8/8/1K6 w - - 0 1,w,2,22
8/8/8/3B1k2/8/2B5/8/2K5 w - - 0 1,w,2,28
3B4/8/8/8/B7/2k5/8/K7 w - - 0 1,w,2,28
8/8/B6B/7k/8/8/8/1K6 w - - 0 1,w,2,32
2k2B2/5B2/8/8/8/8/8/K7 w - - 0 1,w,2,24
8/8/8/8/5kB1/8/8/1K4B1 w - - 0 1,w,2,32
8/8/7B/3B4/k7/8/8/2K5 w - - 0 1,w,2,24
1k3B2/3B4/8/8/8/8/8/1K6 w - - 0 1,w,2,22
8/8/4B3/B7/k7/8/8/K7 w - - 0 1,w,2,30
6B1/8/8/8/8/8/5k1B/1K6 w - - 0 1,w,2,30
2B5/8/6k1/8/8/2B5/8/K7 w - - 0 1,w,2,28
5k2/8/8/1B6/8/4B3/8/K7 w - - 0 1,w,2,30
8/6k1/6B1/8/8/6B1/8/K7 w - - 0 1,w,2,30
8/2B5/2B5/8/8/8/5k2/2K5 w - - 0 1,w,2,18
2B5/8/8/8/8/8/3B4/K4k2 w - - 0 1,w,2,24
8/3k4/8/8/8/2B5/8/K7 w - - 0 1,w,0,0
8/8/8/2k5/B6B/8/8/2K5 w - - 0 1,w,2,32
3B4/8/8/8/6B1/8/7k/1K6 w - - 0 1,w,2,18
8/8/4B3/4k3/8/8/8/1K2B3 w - - 0 1,w,2,32
3B4/8/6B1/8/8/k7/8/K7 w - - 0 1,w,2,22
8/6B1/B7/8/7k/8/8/1K6 w - - 0 1,w,2,26
5B2/7B/8/8/8/8/8/K1k5 w - - 0 1,w,2,14
1k3B2/8/8/8/B7/8/8/1K6 w - - 0 1,w,2,22
8/3k4/8/2B5/8/5B2/8/1K6 w - - 0 1,w,2,24
8/8/1k4B1/8/8/6B1/8/2K5 w - - 0 1,w,2,28
8/8/7B/8/3k4/1B6/8/2K5 w - - 0 1,w,2,30
8/3B4/8/4k3/1B6/8/8/1K6 w - - 0 1,w,2,32
8/8/8/8/1B6/8/7k/1BK5 w - - 0 1,w,2,20
8/8/2B5/8/8/8/4k3/1K6 w - - 0 1,w,0,0
1B6/6k1/8/1B6/8/8/8/K7 w - - 0 1,w,2,30
8/5B2/8/6B1/8/8/7k/K7 w - - 0 1,w,2,24
1B6/1B6/8/7k/8/8/8/1K6 w - - 0 1,w,2,28
3k4/B7/B7/8/8/8/8/1K6 w - - 0 1,w,2,30
2B5/8/8/8/8/B7/8/2K2k2 w - - 0 1,w,2,22
8/8/8/8/8/4k1B1/2B5/1K6 w - - 0 1,w,2,28
6B1/8/8/4B3/8/8/8/K3k3 w - - 0 1,w,2,30
k5B1/8/8/8/8/8/8/BK6 w - - 0 1,w,2,28
8/8/B7/6B1/8/5k2/8/2K5 w - - 0 1,w,2,24
1B6/4k3/2B5/8/8/8/8/1K6 w - - 0 1,w,2,28
8/1B6/8/1k6/8/8/8/BK6 w - - 0 1,w,2,26
8/k4B2/8/8/8/8/8/2K1B3 w - - 0 1,w,2,26
8/8/3B4/8/4k3/8/8/K7 w - - 0 1,w,0,0
8/5B2/8/8/7B/8/4k3/K7 w - - 0 1,w,2,30
8/8/8/4Bk2/8/8/8/2K2B2 w - - 0 1,w,2,30
1B6/8/8/2k5/8/1B6/8/1K6 w - - 0 1,w,2,30
8/8/2B2B2/5k2/8/8/8/2K5 w - - 0 1,w,2,32
8/8/4B3/8/8/8/6k1/2K3B1 w - - 0 1,w,2,28
4B3/2B5/5k2/8/8/8/8/2K5 w - - 0 1,w,2,28
8/8/4B3/8/1B6/4k3/8/1K6 w - - 0 1,w,2,30
8/8/8/8/3B4/1B5k/8/2K5 w - - 0 1,w,2,20
8/1k6/5B2/8/8/3B4/8/K7 w - - 0 1,w,2,30
4B3/6B1/4k3/8/8/8/8/K7 w - - 0 1,w,2,32
8/2B5/8/8/8/k7/8/K7 w - - 0 1,w,0,0
8/6B1/8/8/8/3k3B/8/2K5 w - - 0 1,w,2,28
8/8/8/8/8/2B5/8/KB5k w - - 0 1,w,2,28
8/8/8/8/2B5/6B1/8/K1k5 w - - 0 1,w,2,16
8/8/2B4B/8/8/3k4/8/K7 w - - 0 1,w,2,32
8/8/8/8/8/8/2B2k2/B1K5 w - - 0 1,w,2,24
8/k2B4/8/8/8/8/7B/2K5 w - - 0 1,w,2,22
8/1B6/3B4/8/2k5/8/8/1K6 w - - 0 1,w,2,26
8/8/1B6/8/8/k7/8/2K5 w - - 0 1,w,0,0
8/8/8/6B1/3k4/3B4/8/2K5 w - - 0 1,w,2,30
8/2B5/8/8/6B1/3k4/8/K7 w - - 0 1,w,2,32
2B4B/8/8/1k6/8/8/8/1K6 w - - 0 1,w,2,30
B7/8/6k1/8/8/4B3/8/2K5 w - - 0 1,w,2,30
8/8/8/8/2B1k3/B7/8/2K5 w - - 0 1,w,2,30
8/8/8/2B5/B7/8/4k3/K7 w - - 0 1,w,2,28
5B2/8/8/3B4/8/8/8/K4k2 w - - 0 1,w,2,26
8/8/8/8/8/1k6/5B2/1K6 w - - 0 1,w,0,0
8/8/2k5/8/2B5/8/8/2K3B1 w - - 0 1,w,2,30
8/B7/8/5B2/5k2/8/8/K7 w - - 0 1,w,2,32
1B6/8/8/8/8/8/6B1/K1k5 w - - 0 1,w,2,22
1k1B4/7B/8/8/8/8/8/1K6 w - - 0 1,w,2,22
8/8/8/8/8/k3B3/4B3/K7 w - - 0 1,w,2,14
8/1B6/8/8/3B4/1k6/8/K7 w - - 0 1,w,2,20
8/8/8/8/6k1/B7/8/1BK5 w - - 0 1,w,2,26
8/8/8/8/3B4/8/8/2K1kB2 w - - 0 1,w,2,20
6B1/8/8/8/6k1/8/8/B1K5 w - - 0 1,w,2,26
k7/8/8/8/6B1/8/8/1K2B3 w - - 0 1,w,2,24
8/6k1/8/8/8/3B2B1/8/1K6 w - - 0 1,w,2,26
8/8/8/8/7k/8/1B6/K7 w - - 0 1,w,0,0
8/8/8/k7/8/5BB1/8/2K5 w - - 0 1,w,2,24
5k2/8/8/8/8/8/3B4/K2B4 w - - 0 1,w,2,28
8/1B6/8/B7/8/6k1/8/K7 w - - 0 1,w,2,28
8/2k5/4B3/8/8/8/8/K3B3 w - - 0 1,w,2,26
6B1/8/8/8/1B6/8/8/2K3k1 w - - 0 1,w,2,20
8/7B/8/8/7k/8/3B4/1K6 w - - 0 1,w,2,24
8/8/8/5k2/8/6B1/B7/K7 w - - 0 1,w,2,30
8/8/3k4/8/7B/8/8/2K2B2 w - - 0 1,w,2,30
8/8/8/8/1k4BB/8/8/K7 w - - 0 1,w,2,28
B7/8/8/8/8/B5k1/8/K7 w - - 0 1,w,2,28
8/8/3B4/8/8/8/8/K2k4 w - - 0 1,w,0,0
k7/3B4/8/B7/8/8/8/K7 w - - 0 1,w,2,18
8/6B1/4B3/8/8/8/4k3/2K5 w - - 0 1,w,2,26
1k6/8/4B3/8/8/8/1B6/K7 w - - 0 1,w,2,26
B7/8/5B2/8/8/6k1/8/2K5 w - - 0 1,w,2,28
8/8/6B1/6k1/8/8/8/BK6 w - - 0 1,w,2,28
4B3/8/k2B4/8/8/8/8/K7 w - - 0 1,w,2,22
2k5/8/8/8/8/2B5/6B1/K7 w - - 0 1,w,2,28
8/4B3/4B3/8/8/8/8/K2k4 w - - 0 1,w,2,22
8/8/8/8/6k1/8/8/BK3B2 w - - 0 1,w,2,28
8/8/1B6/8/8/8/4B3/K1k5 w - - 0 1,w,2,12
5B2/8/8/8/8/8/8/2K2k1B w - - 0 1,w,2,22
8/8/7k/8/8/8/2B5/BK6 w - - 0 1,w,2,24
8/8/6B1/8/k7/6B1/8/1K6 w - - 0 1,w,2,20
5B1k/8/8/8/6B1/8/8/1K6 w - - 0 1,w,2,20
4B3/8/8/8/8/8/1B6/K2k4 w - - 0 1,w,2,22
8/7k/8/8/8/8/1B6/1K3B2 w - - 0 1,w,2,26
8/8/2B5/8/7k/8/8/2K5 w - - 0 1,w,0,0
8/1B6/7B/1k6/8/8/8/2K5 w - - 0 1,w,2,22
8/7k/8/8/8/8/7B/K2B4 w - - 0 1,w,2,30
8/8/1B6/8/B7/8/8/1K5k w - - 0 1,w,2,20
8/8/B7/8/8/1kB5/8/K7 w - - 0 1,w,2,16
7k/8/8/8/B7/8/7B/1K6 w - - 0 1,w,2,28
8/6B1/8/k7/B7/8/8/K7 w - - 0 1,w,2,30
1k6/8/8/8/2B5/8/8/K5B1 w - - 0 1,w,2,22
5B2/8/8/k2B4/8/8/8/K7 w - - 0 1,w,2,24
8/8/8/8/6k1/2B5/2B5/2K5 w - - 0 1,w,2,22
8/3B4/8/8/5B2/5k2/8/2K5 w - - 0 1,w,2,32
8/7B/8/8/8/8/7k/K1B5 w - - 0 1,w,2,26
k7/3B4/8/8/8/8/8/BK6 w - - 0 1,w,2,22
k1B5/8/8/8/8/B7/8/K7 w - - 0 1,w,2,20
8/3B4/3B4/8/2k5/8/8/K7 w - - 0 1,w,2,30
8/2k5/8/8/8/8/3B4/1K1B4 w - - 0 1,w,2,30
8/8/8/k7/7B/8/8/1K1B4 w - - 0 1,w,2,26
8/8/7B/3B4/8/3k4/8/1K6 w - - 0 1,w,2,30
8/3B2B1/8/8/8/8/8/2K1k3 w - - 0 1,w,2,22
2B5/8/8/8/8/8/1B3k2/K7 w - - 0 1,w,2,28
8/1B6/8/8/7k/8/8/1KB5 w - - 0 1,w,2,24
B7/8/8/8/8/8/8/1K1k4 w - - 0 1,w,0,0
8/8/8/8/1B4k1/1B6/8/K7 w - - 0 1,w,2,30
8/8/1k6/8/8/3B4/8/2K5 w - - 0 1,w,0,0
8/kB4B1/8/8/8/8/8/1K6 w - - 0 1,w,2,28
8/8/B7/8/5B2/8/8/k1K5 w - - 0 1,w,2,4
8/8/8/8/5B2/8/k1B5/2K5 w - - 0 1,w,2,6
8/8/8/8/6B1/B3k3/8/K7 w - - 0 1,w,2,34
3B4/8/8/1B6/8/4k3/8/K7 w - - 0 1,w,2,34
8/B6k/B7/8/8/8/8/K7 w - - 0 1,w,2,30
8/6B1/8/8/8/8/4k1B1/2K5 w - - 0 1,w,2,26
8/7B/8/6B1/8/8/8/2K4k w - - 0 1,w,2,16
8/8/8/4k3/4B3/8/8/K1B5 w - - 0 1,w,2,32
2B1k3/8/8/8/8/B7/8/K7 w - - 0 1,w,2,24
8/3B4/k7/8/8/4B3/8/K7 w - - 0 1,w,2,22
8/8/B7/8/5k2/8/8/K5B1 w - - 0 1,w,2,32
8/8/6B1/8/7B/5k2/8/1K6 w - - 0 1,w,2,26
8/7k/8/B7/2B5/8/8/1K6 w - - 0 1,w,2,26
8/8/8/8/1B5k/8/6B1/1K6 w - - 0 1,w,2,26
8/2k5/8/1B6/8/8/8/2K3B1 w - - 0 1,w,2,20
3BB3/8/8/8/8/6k1/8/2K5 w - - 0 1,w,2,28
8/8/3B4/1k6/4B3/8/8/2K5 w - - 0 1,w,2,24
7B/3B3k/8/8/8/8/8/1K6 w - - 0 1,w,2,26
8/8/8/8/1k6/8/4B3/1K6 w - - 0 1,w,0,0
8/8/2B5/8/6k1/8/1B6/1K6 w - - 0 1,w,2,30
8/8/8/6B1/6B1/k7/8/K7 w - - 0 1,w,2,18
8/7B/8/8/8/8/5B2/1K3k2 w - - 0 1,w,2,26
8/3B4/8/8/4k3/2B5/8/K7 w - - 0 1,w,2,32
1B3k2/8/8/8/8/8/8/1K6 w - - 0 1,w,0,0
8/6B1/8/k7/4B3/8/8/2K5 w - - 0 1,w,2,26
8/8/8/7B/7B/8/3k4/1K6 w - - 0 1,w,2,26
8/8/8/4BB2/8/8/8/1K4k1 w - - 0 1,w,2,22
8/8/8/8/8/7k/4B2B/K7 w - - 0 1,w,2,22
8/6B1/3k4/1B6/8/8/8/K7 w - - 0 1,w,2,30
6B1/8/8/k7/8/8/7B/2K5 w - - 0 1,w,2,26
8/8/3B4/k7/6B1/8/8/K7 w - - 0 1,w,2,22
2B5/8/8/8/7B/8/7k/K7 w - - 0 1,w,2,20
8/B4B2/8/5k2/8/8/8/K7 w - - 0 1,w,2,32
7B/8/8/8/8/8/5kB1/1K6 w - - 0 1,w,2,30
8/8/3k4/8/8/8/1B6/1K6 w - - 0 1,w,0,0
1B6/8/8/7k/8/8/8/1K6 w - - 0 1,w,0,0
8/8/8/8/2k5/7B/8/2K5 w - - 0 1,w,0,0
8/7B/8/k7/8/8/8/K7 w - - 0 1,w,0,0
8/8/8/4B3/8/8/8/1K1k4 w - - 0 1,w,0,0
8/8/8/B7/B7/8/4k3/1K6 w - - 0 1,w,2,30
8/8/8/8/8/1B2k3/8/B1K5 w - - 0 1,w,2,28
8/8/8/B7/2k3B1/8/8/2K5 w - - 0 1,w,2,32
8/8/8/5k2/2B5/8/8/1K2B3 w - - 0 1,w,2,30
8/8/8/1k3B2/8/8/8/2K5 w - - 0 1,w,0,0
8/8/8/8/3BB3/k7/8/2K5 w - - 0 1,w,2,16
7B/8/8/8/8/4k3/8/K4B2 w - - 0 1,w,2,32
8/8/8/8/8/8/8/KB2Bk2 w - - 0 1,w,2,30
8/8/B4B2/8/8/8/6k1/K7 w - - 0 1,w,2,30
8/8/k7/8/6B1/8/3B4/K7 w - - 0 1,w,2,28
3B4/8/2B5/8/8/6k1/8/2K5 w - - 0 1,w,2,28
8/8/8/1B6/8/8/1B6/K2k4 w - - 0 1,w,2,16
8/B7/8/k7/8/8/4B3/2K5 w - - 0 1,w,2,16
8/8/8/8/2B4B/k7/8/1K6 w - - 0 1,w,2,12
8/8/B7/8/7B/5k2/8/K7 w - - 0 1,w,2,34
8/8/4k3/2B5/8/8/6B1/2K5 w - - 0 1,w,2,30
1k6/8/8/1B6/8/8/3B4/1K6 w - - 0 1,w,2,22
8/8/8/8/8/6k1/1B6/2K2B2 w - - 0 1,w,2,26
8/1B6/7B/8/8/k7/8/K7 w - - 0 1,w,2,20
8/8/6k1/8/8/8/6BB/2K5 w - - 0 1,w,2,28
8/8/3Bk3/8/8/8/8/1K6 w - - 0 1,w,0,0
5B2/8/6k1/8/8/1B6/8/2K5 w - - 0 1,w,2,28
8/8/8/8/8/8/4k1B1/2K5 w - - 0 1,w,0,0
8/8/2k2B2/8/8/8/8/2K5 w - - 0 1,w,0,0
8/k5B1/8/7B/8/8/8/1K6 w - - 0 1,w,2,26
8/8/8/8/3B4/7k/B7/1K6 w - - 0 1,w,2,26
8/8/8/8/8/8/4k2B/1BK5 w - - 0 1,w,2,26
8/8/4k3/8/8/2B5/6B1/K7 w - - 0 1,w,2,32
8/8/8/8/8/B7/3k4/K2B4 w - - 0 1,w,2,34
8/7B/8/6k1/8/6B1/8/2K5 w - - 0 1,w,2,28
k7/6B1/8/8/8/8/2B5/K7 w - - 0 1,w,2,26
5B2/8/2k5/7B/8/8/8/1K6 w - - 0 1,w,2,26
6B1/8/5k2/B7/8/8/8/1K6 w - - 0 1,w,2,30
3k4/B7/8/8/8/1B6/8/1K6 w - - 0 1,w,2,26
8/8/6Bk/8/8/8/1B6/1K6 w - - 0 1,w,2,28
3B4/8/7k/8/8/8/8/1K5B w - - 0 1,w,2,26
8/8/4k3/8/8/B7/8/K4B2 w - - 0 1,w,2,32
8/8/8/5B2/3B4/1k6/8/1K6 w - - 0 1,w,2,16
2k5/6B1/8/8/8/8/B7/1K6 w - - 0 1,w,2,26
8/8/8/5k2/2B5/8/8/2K1B3 w - - 0 1,w,2,28
3k4/8/B7/8/8/8/7B/1K6 w - - 0 1,w,2,30
8/k4B2/8/8/8/8/8/B1K5 w - - 0 1,w,2,26
8/8/7k/8/1B6/8/B7/K7 w - - 0 1,w,2,26
8/8/8/8/8/4B3/8/2KBk3 w - - 0 1,w,2,18
8/8/8/7B/8/8/8/K4k2 w - - 0 1,w,0,0
4k3/B7/8/8/8/8/8/K2B4 w - - 0 1,w,2,32
5B2/5k2/8/8/8/8/6B1/K7 w - - 0 1,w,2,32
8/1B6/8/8/8/6B1/8/1K1k4 w - - 0 1,w,2,20
8/2Bk4/8/8/2B5/8/8/K7 w - - 0 1,w,2,30
8/B4k2/8/8/8/8/6B1/K7 w - - 0 1,w,2,30
8/1B6/8/k7/8/8/5B2/K7 w - - 0 1,w,2,20
8/8/8/7k/8/7B/1B6/2K5 w - - 0 1,w,2,26
8/7k/4B2B/8/8/8/8/K7 w - - 0 1,w,2,26
1k4B1/8/8/8/8/B7/8/1K6 w - - 0 1,w,2,26
8/3B4/8/8/8/3k4/8/1K2B3 w - - 0 1,w,2,32
8/8/3B4/8/3k4/8/8/KB6 w - - 0 1,w,2,34
8/8/8/B7/8/6k1/B7/K7 w - - 0 1,w,2,30
6B1/8/8/8/8/3k4/8/K3B3 w - - 0 1,w,2,34
8/1B6/3k4/8/8/8/8/K5B1 w - - 0 1,w,2,32
8/8/6B1/8/8/2B5/7k/K7 w - - 0 1,w,2,26
8/7B/1k3B2/8/8/8/8/2K5 w - - 0 1,w,2,30
8/8/8/k7/8/8/B6B/2K5 w - - 0 1,w,2,26
6B1/8/1B6/8/4k3/8/8/K7 w - - 0 1,w,2,30
7B/8/6Bk/8/8/8/8/2K5 w - - 0 1,w,2,26
8/8/3B4/8/8/4k2B/8/2K5 w - - 0 1,w,2,30
8/8/8/B6B/8/k7/8/2K5 w - - 0 1,w,2,8
8/4B3/8/8/6k1/8/8/1K3B2 w - - 0 1,w,2,30
2B5/8/3B4/8/8/1k6/8/1K6 w - - 0 1,w,2,20
8/8/8/8/2B5/8/8/1KB1k3 w - - 0 1,w,2,16
1B6/8/8/k7/2B5/8/8/2K5 w - - 0 1,w,2,20
8/8/8/7B/4k3/8/1B6/K7 w - - 0 1,w,2,34
2B5/8/7B/1k6/8/8/8/1K6 w - - 0 1,w,2,32
8/8/4B3/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
8/4k3/8/8/8/2B5/2B5/1K6 w - - 0 1,w,2,30
8/5B2/8/8/4k2B/8/8/1K6 w - - 0 1,w,2,32
8/3BB3/8/8/8/3k4/8/1K6 w - - 0 1,w,2,32
8/4B3/8/1B6/8/5k2/8/K7 w - - 0 1,w,2,32
8/8/8/8/1B6/8/6Bk/K7 w - - 0 1,w,2,28
8/B7/8/8/1k6/3B4/8/K7 w - - 0 1,w,2,16
8/8/8/8/7k/8/8/1KBB4 w - - 0 1,w,2,20
8/8/8/8/8/1k3B2/8/K3B3 w - - 0 1,w,2,14
8/1k6/8/8/2B4B/8/8/2K5 w - - 0 1,w,2,28
1B6/7k/8/8/2B5/8/8/K7 w - - 0 1,w,2,28
8/2k5/8/3B4/8/8/5B2/1K6 w - - 0 1,w,2,24
7B/8/4B3/8/8/k7/8/2K5 w - - 0 1,w,2,14
8/1k6/8/5B2/8/8/8/1K4B1 w - - 0 1,w,2,28
8/6B1/8/7B/8/6k1/8/2K5 w - - 0 1,w,2,20
8/3B4/8/8/1B3k2/8/8/2K5 w - - 0 1,w,2,32
8/2k5/B7/8/7B/8/8/K7 w - - 0 1,w,2,32
8/8/2B5/5k2/8/8/1B6/K7 w - - 0 1,w,2,32
4B3/8/8/k7/8/8/5B2/K7 w - - 0 1,w,2,22
3B4/8/8/8/1k6/5B2/8/2K5 w - - 0 1,w,2,26
8/1B6/1k6/4B3/8/8/8/2K5 w - - 0 1,w,2,28
8/8/8/5B2/2k5/8/3B4/K7 w - - 0 1,w,2,34
8/B7/8/8/8/1B6/3k4/K7 w - - 0 1,w,2,22
8/8/8/8/8/8/B4k2/B1K5 w - - 0 1,w,2,26
8/8/k7/8/8/8/2B5/K7 w - - 0 1,w,0,0
8/8/6k1/8/8/4BB2/8/1K6 w - - 0 1,w,2,28
8/8/8/8/k7/8/1B2B3/K7 w - - 0 1,w,2,16
5k2/8/8/8/8/8/4B3/1K4B1 w - - 0 1,w,2,30
8/8/B1k5/8/8/8/3B4/1K6 w - - 0 1,w,2,32
8/8/4B3/B7/4k3/8/8/K7 w - - 0 1,w,2,34
8/8/7B/8/6k1/8/6B1/1K6 w - - 0 1,w,2,24
5B2/8/8/7B/8/8/8/1K5k w - - 0 1,w,2,22
8/8/3B1k2/8/8/5B2/8/K7 w - - 0 1,w,2,30
8/8/3B4/8/8/3B4/8/1K1k4 w - - 0 1,w,2,18
8/8/k7/B2B4/8/8/8/1K6 w - - 0 1,w,2,28
8/1B6/8/8/2k5/8/8/1K2B3 w - - 0 1,w,2,26
8/8/7k/8/8/8/4BB2/K7 w - - 0 1,w,2,28
8/6k1/8/8/B7/8/3B4/K7 w - - 0 1,w,2,30
8/8/5k2/1B6/8/8/5B2/2K5 w - - 0 1,w,2,30
k7/8/8/8/8/6B1/8/1K3B2 w - - 0 1,w,2,24
8/8/8/8/8/B3k3/8/2K5 w - - 0 1,w,0,0
8/8/8/8/8/k7/8/K2BB3 w - - 0 1,w,2,14
8/8/8/8/8/2k5/7B/1K5B w - - 0 1,w,2,26
8/5k2/B7/8/8/4B3/8/1K6 w - - 0 1,w,2,30
8/B7/5k2/8/8/7B/8/K7 w - - 0 1,w,2,30
k7/8/8/8/5B2/8/8/K4B2 w - - 0 1,w,2,24
8/8/8/3k1B2/8/8/8/1KB5 w - - 0 1,w,2,32
8/8/8/1B4k1/1B6/8/8/2K5 w - - 0 1,w,2,30
4B3/8/3k4/8/8/8/3B4/K7 w - - 0 1,w,2,34
8/8/4B3/8/1B6/8/8/2K2k2 w - - 0 1,w,2,22
2k5/8/8/8/8/8/2B4B/1K6 w - - 0 1,w,2,26
4k1B1/6B1/8/8/8/8/8/K7 w - - 0 1,w,2,26
8/8/3B4/1B6/7k/8/8/2K5 w - - 0 1,w,2,26
5B2/8/8/8/B7/8/k7/2K5 w - - 0 1,w,2,6
7k/8/8/8/8/4B2B/8/K7 w - - 0 1,w,2,26
8/8/8/1k5B/3B4/8/8/K7 w - - 0 1,w,2,28
8/3kB3/6B1/8/8/8/8/K7 w - - 0 1,w,2,34
3k4/8/8/3B4/8/8/8/K1B5 w - - 0 1,w,2,26
2B5/8/8/k7/8/8/5B2/2K5 w - - 0 1,w,2,24
8/5k1B/7B/8/8/8/8/1K6 w - - 0 1,w,2,30
k7/8/8/8/7B/8/B7/1K6 w - - 0 1,w,2,28
8/8/8/8/3k3B/8/8/1K3B2 w - - 0 1,w,2,32
8/4B3/8/8/8/1k6/8/2K5 w - - 0 1,w,0,0
8/1B6/8/4k3/8/8/3B4/2K5 w - - 0 1,w,2,30
8/8/2k5/8/3B2B1/8/8/2K5 w - - 0 1,w,2,28
8/k7/8/8/8/2B5/6B1/K7 w - - 0 1,w,2,24
3B4/8/4k3/8/8/8/8/2K4B w - - 0 1,w,2,32
8/8/8/8/8/8/k7/2K4B w - - 0 1,w,0,0
2B5/8/8/8/8/8/5B2/2K4k w - - 0 1,w,2,14
8/8/8/7k/2B2B2/8/8/K7 w - - 0 1,w,2,28
6B1/1k6/8/8/8/8/7B/1K6 w - - 0 1,w,2,28
3k4/8/8/8/B7/B7/8/1K6 w - - 0 1,w,2,22
8/8/2B5/8/8/1k6/7B/2K5 w - - 0 1,w,2,24
kB6/8/8/8/8/8/4B3/1K6 w - - 0 1,w,2,26
2B5/8/8/6k1/3B4/8/8/K7 w - - 0 1,w,2,28
8/8/8/1B6/8/2B2k2/8/1K6 w - - 0 1,w,2,28
8/2B5/6k1/3B4/8/8/8/2K5 w - - 0 1,w,2,28
B4B2/8/8/8/8/8/7k/2K5 w - - 0 1,w,2,20
6B1/8/1B6/8/8/6k1/8/2K5 w - - 0 1,w,2,28
8/8/2B5/2k5/8/8/8/B1K5 w - - 0 1,w,2,32
4B3/8/7B/8/8/8/8/K2k4 w - - 0 1,w,2,22
8/2B5/8/1B6/8/2k5/8/2K5 w - - 0 1,w,2,20
3k4/8/8/8/8/B7/8/K2B4 w - - 0 1,w,2,24
8/8/3B4/5k2/8/8/6B1/2K5 w - - 0 1,w,2,28
8/8/8/4B3/8/8/B3k3/K7 w - - 0 1,w,2,30
8/8/8/4B3/8/8/B4k2/2K5 w - - 0 1,w,2,24
8/k7/8/8/8/8/1B6/K2B4 w - - 0 1,w,2,26
1B6/8/8/8/B3k3/8/8/1K6 w - - 0 1,w,2,30
8/8/5B2/2k5/2B5/8/8/2K5 w - - 0 1,w,2,28
4B3/8/7k/4B3/8/8/8/2K5 w - - 0 1,w,2,22
3B4/8/3k4/8/8/8/B7/2K5 w - - 0 1,w,2,30
