fen,side,wdl,dtz
1k6/8/2B5/B7/8/8/8/K7 w - - 0 1,w,2,18
8/7B/1k6/6B1/8/8/8/1K6 w - - 0 1,w,2,30
8/1B3k2/8/8/8/6B1/8/1K6 w - - 0 1,w,2,28
8/8/8/8/3B4/3B4/8/1K5k w - - 0 1,w,2,18
1B6/8/6B1/8/8/8/8/2K1k3 w - - 0 1,w,2,20
8/8/8/8/8/1k3B2/3B4/1K6 w - - 0 1,w,2,12
8/8/8/8/5B2/7k/B7/1K6 w - - 0 1,w,2,24
8/B7/8/5k2/8/8/8/2K2B2 w - - 0 1,w,2,32
8/B7/8/8/k7/7B/8/1K6 w - - 0 1,w,2,18
8/8/8/8/1k3B2/1B6/8/1K6 w - - 0 1,w,2,28
2B5/8/7k/8/8/8/8/1K6 w - - 0 1,w,0,0
8/8/8/8/4B3/k7/8/1K6 w - - 0 1,w,0,0
8/8/8/8/4k3/8/1B6/K2B4 w - - 0 1,w,2,32
2B5/5k2/8/2B5/8/8/8/1K6 w - - 0 1,w,2,28
6B1/1k6/8/8/8/6B1/8/1K6 w - - 0 1,w,2,28
B7/8/8/6k1/8/8/7B/K7 w - - 0 1,w,2,30
8/8/8/B7/8/8/7k/1BK5 w - - 0 1,w,2,20
8/3k3B/8/8/8/8/8/1K4B1 w - - 0 1,w,2,30
1k6/8/6B1/2B5/8/8/8/1K6 w - - 0 1,w,2,22
8/8/B4B2/8/8/4k3/8/2K5 w - - 0 1,w,2,30
8/8/2B5/2k5/7B/8/8/2K5 w - - 0 1,w,2,32
8/5B2/5B2/8/8/8/3k4/K7 w - - 0 1,w,2,28
7B/7k/8/8/8/8/B7/K7 w - - 0 1,w,2,30
8/7k/8/8/8/B7/6B1/K7 w - - 0 1,w,2,30
8/8/B7/8/8/8/7B/2K1k3 w - - 0 1,w,2,1
1B6/6k1/8/8/B7/8/8/1K6 w - - 0 1,w,2,28
7B/8/8/3B4/8/3k4/8/2K5 w - - 0 1,w,2,26
8/7B/8/8/8/8/6k1/2K1B3 w - - 0 1,w,2,18
8/8/1B6/4kB2/8/8/8/K7 w - - 0 1,w,2,34
8/8/8/6B1/8/k7/8/KB6 w - - 0 1,w,2,16
2B5/8/5B1k/8/8/8/8/2K5 w - - 0 1,w,2,22
8/8/7k/8/8/2B5/8/K6B w - - 0 1,w,2,30
8/2BB4/k7/8/8/8/8/1K6 w - - 0 1,w,2,20
8/8/8/7B/8/2k5/7B/1K6 w - - 0 1,w,2,28
8/8/8/6B1/8/8/B6k/2K5 w - - 0 1,w,2,20
7B/8/8/8/6B1/8/7k/2K5 w - - 0 1,w,2,20
3B4/8/8/8/6B1/8/8/2K3k1 w - - 0 1,w,2,16
7B/8/k7/5B2/8/8/8/K7 w - - 0 1,w,2,30
8/8/B7/8/8/8/3B4/2K4k w - - 0 1,w,2,18
8/8/7B/8/8/8/2B1k3/K7 w - - 0 1,w,2,26
8/5k2/8/8/B7/2B5/8/K7 w - - 0 1,w,2,32
6B1/8/8/8/1B6/5k2/8/1K6 w - - 0 1,w,2,30
8/kB6/3B4/8/8/8/8/2K5 w - - 0 1,w,2,24
8/4B3/8/8/5k2/8/8/2K4B w - - 0 1,w,2,30
8/8/8/8/8/2B1k3/8/2KB4 w - - 0 1,w,2,26
8/8/8/3B4/8/8/3k1B2/1K6 w - - 0 1,w,2,18
8/8/6B1/8/1k6/8/1B6/2K5 w - - 0 1,w,2,30
8/6B1/8/8/8/1k6/4B3/K7 w - - 0 1,w,2,20
8/8/5kB1/8/8/8/8/1K2B3 w - - 0 1,w,2,32
7B/8/B6k/8/8/8/8/K7 w - - 0 1,w,2,30
7B/8/8/8/5k2/8/8/2K5 w - - 0 1,w,0,0
5B2/8/2k5/8/8/1B6/8/2K5 w - - 0 1,w,2,26
4B3/6B1/8/8/8/1k6/8/K7 w - - 0 1,w,2,28
8/8/8/8/8/4B3/4k1B1/2K5 w - - 0 1,w,2,24
5B2/8/8/8/8/2kB4/8/2K5 w - - 0 1,w,2,32
8/6B1/8/7B/8/8/7k/1K6 w - - 0 1,w,2,22
8/6B1/k7/8/8/1B6/8/2K5 w - - 0 1,w,2,26
6k1/8/8/8/B7/B7/8/K7 w - - 0 1,w,2,26
8/1B6/7B/8/8/6k1/8/K7 w - - 0 1,w,2,26
7B/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/3k1B2/5B2/2K5 w - - 0 1,w,2,24
6BB/8/8/8/8/7k/8/K7 w - - 0 1,w,2,28
8/8/BB6/8/8/8/8/K2k4 w - - 0 1,w,2,14
8/8/8/5B2/8/B4k2/8/K7 w - - 0 1,w,2,26
k3B3/6B1/8/8/8/8/8/1K6 w - - 0 1,w,2,24
B7/8/8/2B5/8/2k5/8/2K5 w - - 0 1,w,2,22
8/8/k7/8/8/4BB2/8/1K6 w - - 0 1,w,2,22
8/8/8/B5k1/8/8/2B5/2K5 w - - 0 1,w,2,26
8/8/8/8/3B4/k4B2/8/2K5 w - - 0 1,w,2,16
8/8/8/8/8/8/1B2k1B1/2K5 w - - 0 1,w,2,26
8/3B4/8/6k1/1B6/8/8/1K6 w - - 0 1,w,2,28
6B1/8/5B2/8/k7/8/8/1K6 w - - 0 1,w,2,28
8/8/1k6/8/7B/8/8/K4B2 w - - 0 1,w,2,30
8/8/2B5/5k2/3B4/8/8/2K5 w - - 0 1,w,2,30
8/8/8/5B1k/8/2B5/8/1K6 w - - 0 1,w,2,22
8/5B2/8/1k6/8/6B1/8/2K5 w - - 0 1,w,2,28
8/B3k3/8/8/8/8/8/KB6 w - - 0 1,w,2,32
7B/1B6/8/8/8/8/8/1K3k2 w - - 0 1,w,2,24
8/8/8/8/8/8/3B4/k1K5 w - - 0 1,w,0,0
8/k2B2B1/8/8/8/8/8/K7 w - - 0 1,w,2,24
3k4/7B/3B4/8/8/8/8/K7 w - - 0 1,w,2,24
8/8/8/4B3/8/8/8/KB2k3 w - - 0 1,w,2,28
8/8/7B/3B4/8/8/4k3/1K6 w - - 0 1,w,2,24
8/8/B7/8/1B6/8/k7/2K5 w - - 0 1,w,2,2
8/8/8/7k/B6B/8/8/K7 w - - 0 1,w,2,34
B7/B7/8/8/7k/8/8/1K6 w - - 0 1,w,2,24
8/3B4/1B6/8/8/8/6k1/2K5 w - - 0 1,w,2,24
8/8/7B/8/1k6/7B/8/K7 w - - 0 1,w,2,30
B7/8/8/8/6k1/8/5B2/K7 w - - 0 1,w,2,32
4B3/B7/8/5k2/8/8/8/K7 w - - 0 1,w,2,32
1B6/8/8/8/8/4k3/8/2K2B2 w - - 0 1,w,2,30
