loss,reward,episode_return_discounted
-0.028823746368288994,-0.01,-0.03709875
-0.02875649742782116,-0.01,-0.03709875
-0.03032420389354229,-0.01,-0.03709875
-0.02724827267229557,-0.01,-0.03709875
-0.03093600831925869,-0.01,-0.03709875
-0.026041803881525993,-0.01,-0.03709875
-0.0339091531932354,-0.01,-0.8858999999999999
-0.028544969856739044,-0.01,-0.03709875
-0.02804482914507389,-0.01,-0.8858999999999999
-0.026714669540524483,-0.01,-0.03709875
-0.03059271350502968,-0.01,-0.03709875
-0.02889430895447731,-0.01,-0.03709875
-0.024665802717208862,-0.01,-0.03709875
-0.03046208620071411,-0.01,-0.03709875
-0.024637382477521896,-0.01,-0.03709875
-0.02916727587580681,-0.01,1.0
-0.030745966359972954,-0.01,-0.03709875
-0.024281809106469154,-0.01,-0.03709875
-0.028064990416169167,-0.01,-0.03709875
-0.023697948083281517,-0.01,-0.03709875
-0.019722014665603638,-0.01,-0.03709875
-0.025917798280715942,-0.01,-0.03709875
-0.03249639645218849,-0.01,-0.03709875
-0.022628366947174072,-0.01,-0.03709875
-0.02752808853983879,-0.01,-1.0
-0.02768643945455551,-0.01,-0.8858999999999999
-0.02197233960032463,-0.01,0.94
-2.7363319396972656,-1.0,-0.03709875
0.11373377591371536,-0.01,-0.03709875
-0.11913076788187027,-0.01,-0.03709875
-0.03189041092991829,-0.01,-0.03709875
0.09133558720350266,-0.01,-0.03709875
0.07024112343788147,-0.01,-0.9219999999999999
-0.016853688284754753,-0.01,-0.03709875
-0.11068650335073471,-0.01,-0.03709875
-2.6684110164642334,-1.0,-0.03709875
-0.186119943857193,-0.01,-0.03709875
-0.034950196743011475,-0.01,-0.03709875
0.17947736382484436,-0.01,-0.03709875
-0.1686573624610901,-0.01,-0.03709875
-0.18052881956100464,-0.01,-0.03709875
-0.06839243322610855,-0.01,-0.8858999999999999
0.18675187230110168,-0.01,-0.9219999999999999
-0.03411198407411575,-0.01,-0.03709875
0.1701257824897766,-0.01,-0.03709875
-0.01716841384768486,-0.01,-0.03709875
0.01869952119886875,-0.01,-0.03709875
-0.1828315109014511,-0.01,-0.03709875
-0.1586647778749466,-0.01,-0.03709875
0.1521712839603424,-0.01,-0.03709875
-0.14448341727256775,-0.01,1.0
0.12718167901039124,-0.01,-0.03709875
-0.01085599698126316,-0.01,-0.03709875
-0.09829740226268768,-0.01,-0.03709875
0.10338534414768219,-0.01,-0.03709875
-0.12839093804359436,-0.01,-0.9219999999999999
0.11189249902963638,-0.01,-0.03709875
-0.0044041844084858894,-0.01,-0.03709875
-0.11641427129507065,-0.01,-0.03709875
0.08856039494276047,-0.01,-0.03709875
3.488752603530884,1.0,-0.8858999999999999
-0.11564766615629196,-0.01,-0.03709875
-0.04209999740123749,-0.01,1.0
-0.039471667259931564,-0.01,1.0
-0.0035417727194726467,-0.01,-0.03709875
0.07792618125677109,-0.01,-0.03709875
-0.10155508667230606,-0.01,-0.03709875
-0.023127494379878044,-0.01,-0.03709875
-0.01170374732464552,-0.01,-0.03709875
-0.06681593507528305,-0.01,-0.03709875
-0.04323605075478554,-0.01,-0.03709875
-0.04019307717680931,-0.01,-0.03709875
-0.018223417922854424,-0.01,-0.03709875
0.021754298359155655,-0.01,-0.03709875
-0.06147356703877449,-0.01,-0.9219999999999999
-0.038460951298475266,-0.01,-0.03709875
-0.040135134011507034,-0.01,-0.8858999999999999
-0.0975651666522026,-0.01,-0.03709875
-0.04712603613734245,-0.01,-0.96
0.04420484974980354,-0.01,-0.03709875
-0.08178380876779556,-0.01,-0.8858999999999999
-0.06487904489040375,-0.01,-0.03709875
-0.03477330133318901,-0.01,-0.03709875
-0.039162226021289825,-0.01,-0.03709875
-0.030052559450268745,-0.01,-0.03709875
0.02223520167171955,-0.01,-0.03709875
-0.06598351895809174,-0.01,-0.03709875
-0.04022054374217987,-0.01,1.0
-0.05077529326081276,-0.01,-0.03709875
-0.0757475271821022,-0.01,-0.03709875
-0.04398380219936371,-0.01,-0.03709875
0.03225729241967201,-0.01,-0.03709875
-0.08146652579307556,-0.01,-0.03709875
-2.6428656578063965,-1.0,-0.03709875
-0.15047332644462585,-0.01,-0.03709875
0.01708345115184784,-0.01,-0.03709875
0.0906522125005722,-0.01,-0.03709875
-2.2495057582855225,-1.0,-0.03709875
0.05053587630391121,-0.01,-0.03709875
3.7676730155944824,1.0,-0.03709875
-0.15160956978797913,-0.01,-0.03709875
0.23839415609836578,-0.01,-0.03709875
-0.24401281774044037,-0.01,-0.03709875
-0.03650538995862007,-0.01,-0.03709875
-0.24516642093658447,-0.01,-0.03709875
0.10408788919448853,-0.01,-0.03709875
0.05456065014004707,-0.01,-0.03709875
-0.1486387401819229,-0.01,-0.03709875
0.20693668723106384,-0.01,-0.03709875
-0.233088418841362,-0.01,-0.9219999999999999
0.06897962093353271,-0.01,-0.03709875
-0.08949173241853714,-0.01,-0.03709875
-0.03838079795241356,-0.01,-0.03709875
-0.0394182913005352,-0.01,-0.03709875
-0.02429790236055851,-0.01,-0.03709875
-0.11338187009096146,-0.01,-0.8858999999999999
-0.04349727928638458,-0.01,1.0
-0.023958103731274605,-0.01,-0.03709875
-0.09194767475128174,-0.01,-0.03709875
0.10605969280004501,-0.01,-0.03709875
-0.13298340141773224,-0.01,-0.03709875
0.0851331278681755,-0.01,-0.03709875
-2.1508548259735107,-1.0,-0.03709875
-0.123662069439888,-0.01,-0.03709875
-0.03917289897799492,-0.01,-0.03709875
-0.002298052189871669,-0.01,-0.9219999999999999
-0.00620765658095479,-0.01,-0.03709875
-0.03435298055410385,-0.01,-0.03709875
-0.027352051809430122,-0.01,-0.8858999999999999
0.0044398121535778046,-0.01,-0.03709875
0.03599043935537338,-0.01,1.0
-0.03369222953915596,-0.01,0.94
0.1283898651599884,-0.01,-0.03709875
-0.10999160259962082,-0.01,-0.9219999999999999
0.0933677926659584,-0.01,-0.03709875
-0.06492798030376434,-0.01,-0.03709875
-0.06035202741622925,-0.01,-0.03709875
-0.0405467264354229,-0.01,-0.03709875
-0.006315970327705145,-0.01,-0.03709875
-0.08345029503107071,-0.01,-0.03709875
0.012850235216319561,-0.01,-0.03709875
0.009727156721055508,-0.01,-0.9219999999999999
-0.029203539714217186,-0.01,-0.03709875
-0.10212531685829163,-0.01,-0.03709875
-0.02338937297463417,-0.01,-0.03709875
0.058693673461675644,-0.01,1.0
-0.12505510449409485,-0.01,1.0
-0.08989083021879196,-0.01,-0.8858999999999999
-0.010817485861480236,-0.01,-0.03709875
-0.021251123398542404,-0.01,-0.03709875
-0.02271376922726631,-0.01,-0.03709875
-0.05674094706773758,-0.01,-0.03709875
-0.059154413640499115,-0.01,-0.03709875
-0.025626657530665398,-0.01,-0.03709875
-0.03994978964328766,-0.01,-0.9219999999999999
-0.0772940143942833,-0.01,-0.03709875
0.02332104928791523,-0.01,-0.03709875
0.043750472366809845,-0.01,-0.03709875
-1.994960069656372,-1.0,-0.96
-0.06609126180410385,-0.01,-0.03709875
0.06491072475910187,-0.01,-0.03709875
-1.963951826095581,-1.0,-0.03709875
0.014865565113723278,-0.01,-1.0
-0.018443573266267776,-0.01,-0.03709875
0.04275624081492424,-0.01,-0.03709875
0.027312541380524635,-0.01,1.0
-0.025846656411886215,-0.01,-0.03709875
0.06667342036962509,-0.01,-0.8858999999999999
0.03647107258439064,-0.01,-0.03709875
-0.03193986043334007,-0.01,-0.8858999999999999
0.09820211678743362,-0.01,-0.03709875
-0.09332555532455444,-0.01,-0.96
-0.04408144950866699,-0.01,-0.8858999999999999
-0.021865591406822205,-0.01,-0.96
0.0013894448056817055,-0.01,-0.8858999999999999
0.025807276368141174,-0.01,-0.03709875
-0.0047822375781834126,-0.01,-0.03709875
-0.03972206264734268,-0.01,-0.03709875
-0.0012829337501898408,-0.01,1.0
-0.03071395680308342,-0.01,-0.96
0.017433693632483482,-0.01,-0.03709875
0.04758605733513832,-0.01,-0.03709875
-0.018862873315811157,-0.01,-0.03709875
-0.02315903827548027,-0.01,-0.03709875
-0.032758474349975586,-0.01,-0.03709875
-0.002695726929232478,-0.01,-0.03709875
-0.00047443859511986375,-0.01,-0.03709875
0.03917888551950455,-0.01,-0.03709875
0.05279773101210594,-0.01,-0.96
-0.04158507660031319,-0.01,-0.8858999999999999
3.679332733154297,1.0,-0.03709875
0.044932298362255096,-0.01,0.94
-0.03167847916483879,-0.01,-0.03709875
-0.018075190484523773,-0.01,-0.8858999999999999
-0.051895905286073685,-0.01,0.8288499999999999
0.049740370362997055,-0.01,-0.03709875
0.008856825530529022,-0.01,-0.03709875
-0.04560123383998871,-0.01,-0.03709875
0.05308424308896065,-0.01,-1.0
0.048980310559272766,-0.01,-0.03709875
0.008585256524384022,-0.01,-0.03709875
-0.11682038009166718,-0.01,-0.8858999999999999
0.1125553697347641,-0.01,1.0
-0.21477022767066956,-0.01,-0.96
0.07474847882986069,-0.01,1.0
-0.1708340346813202,-0.01,-0.03709875
0.0017286560032516718,-0.01,-0.03709875
-0.1485738903284073,-0.01,-0.9219999999999999
-0.035996824502944946,-0.01,-0.03709875
-2.209718942642212,-1.0,-0.03709875
-0.2559259533882141,-0.01,-0.03709875
-0.06079166382551193,-0.01,-0.03709875
-0.023360982537269592,-0.01,-1.0
-0.05785885080695152,-0.01,-0.03709875
0.1414613425731659,-0.01,-0.03709875
-0.1695571392774582,-0.01,-0.03709875
0.1432836949825287,-0.01,-0.03709875
-0.15417708456516266,-0.01,-1.0
0.24267597496509552,-0.01,-0.03709875
-0.18894320726394653,-0.01,-0.03709875
0.14585773646831512,-0.01,-0.03709875
-0.16666977107524872,-0.01,-0.03709875
-0.010752863250672817,-0.01,-0.03709875
-0.18704825639724731,-0.01,-0.03709875
-0.05682656168937683,-0.01,-0.8858999999999999
0.09502381086349487,-0.01,-0.03709875
0.05788126215338707,-0.01,-0.03709875
-0.07831433415412903,-0.01,-0.03709875
-0.0911865234375,-0.01,-0.03709875
-1.8262125253677368,-1.0,1.0
-0.17231595516204834,-0.01,-0.03709875
-0.02535346709191799,-0.01,-0.03709875
0.20115379989147186,-0.01,-0.03709875
-0.02052946761250496,-0.01,-0.03709875
4.114311218261719,1.0,-0.03709875
3.140822410583496,1.0,-0.03709875
-0.038727130740880966,-0.01,-0.03709875
-0.13303826749324799,-0.01,-0.8858999999999999
-0.07365456223487854,-0.01,-0.03709875
0.2712783217430115,-0.01,-0.03709875
-0.3004852831363678,-0.01,-0.03709875
-0.12062366306781769,-0.01,-0.03709875
0.17037393152713776,-0.01,-0.03709875
-0.08593261241912842,-0.01,-0.9219999999999999
-0.25057992339134216,-0.01,-0.03709875
-0.10417968779802322,-0.01,-0.03709875
0.028165126219391823,-0.01,-0.03709875
-0.12631911039352417,-0.01,-0.03709875
-0.07922190427780151,-0.01,-0.03709875
0.07535757124423981,-0.01,-0.03709875
-0.06960511207580566,-0.01,-0.03709875
-0.10574449598789215,-0.01,-0.03709875
0.056808799505233765,-0.01,-0.03709875
-0.27324971556663513,-0.01,1.0
-0.08705936372280121,-0.01,-0.03709875
-0.07600394636392593,-0.01,-0.9219999999999999
-0.09213265031576157,-0.01,-0.8858999999999999
-0.0987359806895256,-0.01,-0.03709875
-0.0673128217458725,-0.01,-0.03709875
0.005911234300583601,-0.01,-0.03709875
-0.09510014951229095,-0.01,-0.8858999999999999
-0.053219299763441086,-0.01,-0.03709875
-0.007322895806282759,-0.01,-0.9219999999999999
-0.12954048812389374,-0.01,-0.8858999999999999
-0.22481754422187805,-0.01,-0.03709875
-0.06950818002223969,-0.01,-0.03709875
0.11626481264829636,-0.01,-0.9219999999999999
-0.21772107481956482,-0.01,-0.96
-0.16905242204666138,-0.01,-0.8858999999999999
0.1569022834300995,-0.01,-0.03709875
-0.14268849790096283,-0.01,-0.03709875
-0.038124144077301025,-0.01,-0.03709875
0.12643153965473175,-0.01,-0.03709875
-0.12531030178070068,-0.01,-0.03709875
0.012910210527479649,-0.01,-0.03709875
0.018327033147215843,-0.01,-0.96
0.007968556135892868,-0.01,-0.03709875
-0.16751264035701752,-0.01,-0.03709875
-2.4893293380737305,-1.0,-0.03709875
-0.19216527044773102,-0.01,-0.03709875
-0.05192653834819794,-0.01,-0.03709875
0.06826000660657883,-0.01,-0.03709875
0.07780385762453079,-0.01,-0.03709875
0.045692428946495056,-0.01,-0.9219999999999999
-0.09510710090398788,-0.01,-0.03709875
0.11640319228172302,-0.01,-0.03709875
-2.3137216567993164,-1.0,-0.8858999999999999
0.07886142283678055,-0.01,-0.03709875
-0.08827020972967148,-0.01,-0.03709875
-0.04509192705154419,-0.01,-0.8858999999999999
-0.04596778377890587,-0.01,-0.03709875
-0.10811752825975418,-0.01,-0.03709875
-2.0568132400512695,-1.0,1.0
-0.17440848052501678,-0.01,-0.03709875
-0.05120394751429558,-0.01,-0.8858999999999999
-0.07488269358873367,-0.01,1.0
0.0038921311497688293,-0.01,-0.8858999999999999
-0.10448142886161804,-0.01,-0.03709875
-0.05263014882802963,-0.01,-0.03709875
0.06132442504167557,-0.01,-0.03709875
-1.6912895441055298,-1.0,-0.03709875
-0.11943800747394562,-0.01,-0.03709875
0.14999377727508545,-0.01,-0.8858999999999999
-0.09465654194355011,-0.01,-0.03709875
-0.029076866805553436,-0.01,-0.03709875
-0.07494837790727615,-0.01,-0.03709875
0.005061502102762461,-0.01,-0.9219999999999999
0.08740445971488953,-0.01,-0.03709875
0.01921706087887287,-0.01,-0.03709875
0.09033694863319397,-0.01,-0.03709875
-0.0384761318564415,-0.01,-0.03709875
-0.053132228553295135,-0.01,1.0
-0.07908248901367188,-0.01,-0.03709875
-0.004313722252845764,-0.01,-0.03709875
-0.012567627243697643,-0.01,-0.03709875
0.11841750144958496,-0.01,-0.03709875
0.08890052139759064,-0.01,1.0
0.05135711282491684,-0.01,-0.03709875
0.021951740607619286,-0.01,1.0
-0.05860575661063194,-0.01,-0.03709875
0.12373535335063934,-0.01,-0.03709875
-0.0661073625087738,-0.01,-0.03709875
-0.0015756494831293821,-0.01,-0.03709875
-0.012804381549358368,-0.01,-0.03709875
0.05163057893514633,-0.01,-0.03709875
3.976393461227417,1.0,-0.03709875
-0.3619716167449951,-0.01,-0.9219999999999999
0.2123914510011673,-0.01,1.0
-0.14657405018806458,-0.01,-0.03709875
-0.04590228945016861,-0.01,-0.03709875
0.016293970867991447,-0.01,-0.96
-0.02014077454805374,-0.01,-0.03709875
-0.08076891303062439,-0.01,-0.03709875
-0.10775458812713623,-0.01,-0.03709875
0.019148489460349083,-0.01,-0.9219999999999999
-0.0823025181889534,-0.01,-0.03709875
-0.14664463698863983,-0.01,-0.03709875
0.2121453434228897,-0.01,1.0
-0.26003408432006836,-0.01,-0.03709875
0.04030865803360939,-0.01,-0.03709875
-0.031214607879519463,-0.01,1.0
-0.04503590613603592,-0.01,-0.03709875
-0.04909084737300873,-0.01,1.0
-0.013754104264080524,-0.01,-0.96
0.06527893245220184,-0.01,-0.03709875
-0.08717076480388641,-0.01,-0.03709875
-0.0514526404440403,-0.01,-0.03709875
-0.0808422639966011,-0.01,-0.03709875
-0.07305968552827835,-0.01,-0.03709875
-0.06200038269162178,-0.01,-0.03709875
0.05408067628741264,-0.01,0.94
-0.22011920809745789,-0.01,-0.03709875
-0.05932461470365524,-0.01,-0.03709875
0.22622700035572052,-0.01,-0.03709875
-0.016798457130789757,-0.01,-0.03709875
-0.038378968834877014,-0.01,-0.96
0.0016073334263637662,-0.01,-0.03709875
-0.03332570195198059,-0.01,-0.03709875
0.10681214183568954,-0.01,1.0
-0.08550642430782318,-0.01,1.0
0.011449335142970085,-0.01,-0.03709875
-0.01599249057471752,-0.01,-0.03709875
-0.04941752925515175,-0.01,-0.03709875
-0.10616974532604218,-0.01,-0.03709875
0.08642067760229111,-0.01,1.0
-0.09976383298635483,-0.01,-0.03709875
0.061283186078071594,-0.01,-0.9219999999999999
-0.044626787304878235,-0.01,-0.03709875
-0.06542986631393433,-0.01,-0.03709875
-0.16722437739372253,-0.01,-0.03709875
0.07463745027780533,-0.01,-0.03709875
-0.05767272785305977,-0.01,-0.03709875
-0.08820970356464386,-0.01,-0.03709875
-0.12079712003469467,-0.01,0.883
-0.045018088072538376,-0.01,-0.03709875
-0.06552588939666748,-0.01,-0.03709875
-0.07001099735498428,-0.01,-0.03709875
0.018028132617473602,-0.01,-0.03709875
-0.2347014993429184,-0.01,-0.03709875
-0.008443309925496578,-0.01,-0.03709875
0.025217609480023384,-0.01,-0.03709875
0.24269677698612213,-0.01,-0.03709875
0.17179784178733826,-0.01,-0.03709875
-0.1797853261232376,-0.01,-0.03709875
-0.08112038671970367,-0.01,-0.03709875
-0.04397358372807503,-0.01,-0.96
-0.09511660784482956,-0.01,-0.03709875
0.1527767777442932,-0.01,-0.9219999999999999
-0.16470322012901306,-0.01,-0.03709875
-0.03094850294291973,-0.01,-0.03709875
-0.15865200757980347,-0.01,-0.9219999999999999
0.024918407201766968,-0.01,-0.8858999999999999
0.015874581411480904,-0.01,-0.03709875
0.08580034226179123,-0.01,-0.03709875
-0.05713645741343498,-0.01,-0.03709875
0.09939905256032944,-0.01,1.0
0.07963602989912033,-0.01,-0.03709875
-0.18615233898162842,-0.01,-0.03709875
-0.06530623883008957,-0.01,-0.03709875
-0.06459983438253403,-0.01,-0.03709875
0.018820958212018013,-0.01,-0.03709875
-0.20623742043972015,-0.01,-0.03709875
-0.15169094502925873,-0.01,-0.03709875
-0.038864538073539734,-0.01,-0.03709875
0.08136548101902008,-0.01,-0.03709875
-0.1060757040977478,-0.01,1.0
-0.1486305445432663,-0.01,-0.03709875
-0.040487535297870636,-0.01,-0.03709875
-0.05062961205840111,-0.01,-0.03709875
0.10122040659189224,-0.01,-0.03709875
-0.19080916047096252,-0.01,-0.03709875
-0.12879346311092377,-0.01,-0.9219999999999999
-1.8092091083526611,-1.0,-0.03709875
-0.0637868121266365,-0.01,-0.9219999999999999
-0.04667412117123604,-0.01,-0.03709875
-0.040141258388757706,-0.01,-0.03709875
0.14682503044605255,-0.01,-0.03709875
-0.13626031577587128,-0.01,-0.9219999999999999
0.019365467131137848,-0.01,-0.03709875
-0.037896547466516495,-0.01,-0.03709875
-0.0008800063515082002,-0.01,-0.03709875
-0.11480314284563065,-0.01,-0.03709875
-0.04423099383711815,-0.01,-0.03709875
0.03630421683192253,-0.01,-0.03709875
0.20933786034584045,-0.01,-0.03709875
-0.20830248296260834,-0.01,-0.03709875
-0.04748309776186943,-0.01,-0.03709875
-0.03853374719619751,-0.01,-0.03709875
0.10521621257066727,-0.01,-0.03709875
0.11539274454116821,-0.01,-0.03709875
-0.08540282398462296,-0.01,-0.8858999999999999
-0.05963897332549095,-0.01,-0.03709875
-0.022657763212919235,-0.01,1.0
-0.07863914966583252,-0.01,-0.03709875
-0.0475090928375721,-0.01,1.0
-0.06216191127896309,-0.01,-0.03709875
-1.3642816543579102,-1.0,-0.96
5.450855731964111,1.0,-0.03709875
-0.4398728311061859,-0.01,-0.03709875
0.10101904720067978,-0.01,1.0
-0.12304753810167313,-0.01,-0.03709875
