fen,wdl,dtz
1k6/8/8/8/8/8/8/K7 b - - 0 1,0,
2k5/8/8/8/8/8/8/K7 w - - 0 1,0,
2k5/8/8/8/8/8/8/K7 b - - 0 1,0,
3k4/8/8/8/8/8/8/K7 w - - 0 1,0,
3k4/8/8/8/8/8/8/K7 b - - 0 1,0,
4k3/8/8/8/8/8/8/K7 w - - 0 1,0,
4k3/8/8/8/8/8/8/K7 b - - 0 1,0,
5k2/8/8/8/8/8/8/K7 w - - 0 1,0,
5k2/8/8/8/8/8/8/K7 b - - 0 1,0,
6k1/8/8/8/8/8/8/K7 w - - 0 1,0,
6k1/8/8/8/8/8/8/K7 b - - 0 1,0,
7k/8/8/8/8/8/8/K7 w - - 0 1,0,
7k/8/8/8/8/8/8/K7 b - - 0 1,0,
8/8/8/8/8/8/8/1K1k4 w - - 0 1,0,
8/8/8/8/8/8/8/1K1k4 b - - 0 1,0,
8/8/8/8/8/8/8/1K2k3 w - - 0 1,0,
8/8/8/8/8/8/8/1K2k3 b - - 0 1,0,
8/8/8/8/8/8/8/1K3k2 w - - 0 1,0,
8/8/8/8/8/8/8/1K3k2 b - - 0 1,0,
8/8/8/8/8/8/8/1K4k1 w - - 0 1,0,
8/8/8/8/8/8/8/1K4k1 b - - 0 1,0,
8/8/8/8/8/8/8/1K5k w - - 0 1,0,
8/8/8/8/8/8/8/1K5k b - - 0 1,0,
8/8/8/8/8/8/3k4/1K6 w - - 0 1,0,
8/8/8/8/8/8/3k4/1K6 b - - 0 1,0,
8/8/8/8/8/8/4k3/1K6 w - - 0 1,0,
8/8/8/8/8/8/4k3/1K6 b - - 0 1,0,
8/8/8/8/8/8/5k2/1K6 w - - 0 1,0,
8/8/8/8/8/8/5k2/1K6 b - - 0 1,0,
8/8/8/8/8/8/6k1/1K6 w - - 0 1,0,
8/8/8/8/8/8/6k1/1K6 b - - 0 1,0,
8/8/8/8/8/8/7k/1K6 w - - 0 1,0,
8/8/8/8/8/8/7k/1K6 b - - 0 1,0,
8/8/8/8/8/k7/8/1K6 w - - 0 1,0,
8/8/8/8/8/k7/8/1K6 b - - 0 1,0,
8/8/8/8/8/1k6/8/1K6 w - - 0 1,0,
8/8/8/8/8/1k6/8/1K6 b - - 0 1,0,
8/8/8/8/8/2k5/8/1K6 w - - 0 1,0,
8/8/8/8/8/2k5/8/1K6 b - - 0 1,0,
8/8/8/8/8/3k4/8/1K6 w - - 0 1,0,
8/8/8/8/8/3k4/8/1K6 b - - 0 1,0,
8/8/8/8/8/4k3/8/1K6 w - - 0 1,0,
8/8/8/8/8/4k3/8/1K6 b - - 0 1,0,
8/8/8/8/8/5k2/8/1K6 w - - 0 1,0,
8/8/8/8/8/5k2/8/1K6 b - - 0 1,0,
8/8/8/8/8/6k1/8/1K6 w - - 0 1,0,
8/8/8/8/8/6k1/8/1K6 b - - 0 1,0,
8/8/8/8/8/7k/8/1K6 w - - 0 1,0,
8/8/8/8/8/7k/8/1K6 b - - 0 1,0,
8/8/8/8/k7/8/8/1K6 w - - 0 1,0,
8/8/8/8/k7/8/8/1K6 b - - 0 1,0,
8/8/8/8/1k6/8/8/1K6 w - - 0 1,0,
8/8/8/8/1k6/8/8/1K6 b - - 0 1,0,
8/8/8/8/2k5/8/8/1K6 w - - 0 1,0,
8/8/8/8/2k5/8/8/1K6 b - - 0 1,0,
8/8/8/8/3k4/8/8/1K6 w - - 0 1,0,
8/8/8/8/3k4/8/8/1K6 b - - 0 1,0,
8/8/8/8/4k3/8/8/1K6 w - - 0 1,0,
8/8/8/8/4k3/8/8/1K6 b - - 0 1,0,
8/8/8/8/5k2/8/8/1K6 w - - 0 1,0,
8/8/8/8/5k2/8/8/1K6 b - - 0 1,0,
8/8/8/8/6k1/8/8/1K6 w - - 0 1,0,
8/8/8/8/6k1/8/8/1K6 b - - 0 1,0,
8/8/8/8/7k/8/8/1K6 w - - 0 1,0,
8/8/8/8/7k/8/8/1K6 b - - 0 1,0,
8/8/8/k7/8/8/8/1K6 w - - 0 1,0,
8/8/8/k7/8/8/8/1K6 b - - 0 1,0,
8/8/8/1k6/8/8/8/1K6 w - - 0 1,0,
8/8/8/1k6/8/8/8/1K6 b - - 0 1,0,
8/8/8/2k5/8/8/8/1K6 w - - 0 1,0,
8/8/8/2k5/8/8/8/1K6 b - - 0 1,0,
8/8/8/3k4/8/8/8/1K6 w - - 0 1,0,
8/8/8/3k4/8/8/8/1K6 b - - 0 1,0,
8/8/8/4k3/8/8/8/1K6 w - - 0 1,0,
8/8/8/4k3/8/8/8/1K6 b - - 0 1,0,
8/8/8/5k2/8/8/8/1K6 w - - 0 1,0,
8/8/8/5k2/8/8/8/1K6 b - - 0 1,0,
8/8/8/6k1/8/8/8/1K6 w - - 0 1,0,
8/8/8/6k1/8/8/8/1K6 b - - 0 1,0,
8/8/8/7k/8/8/8/1K6 w - - 0 1,0,
8/8/8/7k/8/8/8/1K6 b - - 0 1,0,
8/8/k7/8/8/8/8/1K6 w - - 0 1,0,
8/8/k7/8/8/8/8/1K6 b - - 0 1,0,
8/8/1k6/8/8/8/8/1K6 w - - 0 1,0,
8/8/1k6/8/8/8/8/1K6 b - - 0 1,0,
8/8/2k5/8/8/8/8/1K6 w - - 0 1,0,
8/8/2k5/8/8/8/8/1K6 b - - 0 1,0,
8/8/3k4/8/8/8/8/1K6 w - - 0 1,0,
8/8/3k4/8/8/8/8/1K6 b - - 0 1,0,
8/8/4k3/8/8/8/8/1K6 w - - 0 1,0,
8/8/4k3/8/8/8/8/1K6 b - - 0 1,0,
8/8/5k2/8/8/8/8/1K6 w - - 0 1,0,
8/8/5k2/8/8/8/8/1K6 b - - 0 1,0,
8/8/6k1/8/8/8/8/1K6 w - - 0 1,0,
8/8/6k1/8/8/8/8/1K6 b - - 0 1,0,
8/8/7k/8/8/8/8/1K6 w - - 0 1,0,
8/8/7k/8/8/8/8/1K6 b - - 0 1,0,
8/k7/8/8/8/8/8/1K6 w - - 0 1,0,
8/k7/8/8/8/8/8/1K6 b - - 0 1,0,
8/1k6/8/8/8/8/8/1K6 w - - 0 1,0,
8/1k6/8/8/8/8/8/1K6 b - - 0 1,0,
8/2k5/8/8/8/8/8/1K6 w - - 0 1,0,
8/2k5/8/8/8/8/8/1K6 b - - 0 1,0,
8/3k4/8/8/8/8/8/1K6 w - - 0 1,0,
8/3k4/8/8/8/8/8/1K6 b - - 0 1,0,
8/4k3/8/8/8/8/8/1K6 w - - 0 1,0,
8/4k3/8/8/8/8/8/1K6 b - - 0 1,0,
8/5k2/8/8/8/8/8/1K6 w - - 0 1,0,
8/5k2/8/8/8/8/8/1K6 b - - 0 1,0,
8/6k1/8/8/8/8/8/1K6 w - - 0 1,0,
8/6k1/8/8/8/8/8/1K6 b - - 0 1,0,
8/7k/8/8/8/8/8/1K6 w - - 0 1,0,
8/7k/8/8/8/8/8/1K6 b - - 0 1,0,
k7/8/8/8/8/8/8/1K6 w - - 0 1,0,
k7/8/8/8/8/8/8/1K6 b - - 0 1,0,
1k6/8/8/8/8/8/8/1K6 w - - 0 1,0,
1k6/8/8/8/8/8/8/1K6 b - - 0 1,0,
2k5/8/8/8/8/8/8/1K6 w - - 0 1,0,
2k5/8/8/8/8/8/8/1K6 b - - 0 1,0,
3k4/8/8/8/8/8/8/1K6 w - - 0 1,0,
3k4/8/8/8/8/8/8/1K6 b - - 0 1,0,
4k3/8/8/8/8/8/8/1K6 w - - 0 1,0,
4k3/8/8/8/8/8/8/1K6 b - - 0 1,0,
5k2/8/8/8/8/8/8/1K6 w - - 0 1,0,
5k2/8/8/8/8/8/8/1K6 b - - 0 1,0,
6k1/8/8/8/8/8/8/1K6 w - - 0 1,0,
6k1/8/8/8/8/8/8/1K6 b - - 0 1,0,
7k/8/8/8/8/8/8/1K6 w - - 0 1,0,
7k/8/8/8/8/8/8/1K6 b - - 0 1,0,
8/8/8/8/8/8/8/k1K5 w - - 0 1,0,
8/8/8/8/8/8/8/k1K5 b - - 0 1,0,
8/8/8/8/8/8/8/2K1k3 w - - 0 1,0,
8/8/8/8/8/8/8/2K1k3 b - - 0 1,0,
